2023/11/28 20:02:43: Usuário do IP [192.168.15.1], hostName: DESKTOP-JED27UB. Acessou o Servidor de IP: 34354223232323 com Sucesso!
2023/11/28 20:02:49: Usuário do IP [192.168.15.1], hostName: DESKTOP-JED27UB. Iniciou o processo de inserção no servidor de IP: 34354223232323 com sucesso!
2023/11/28 20:06:18: Usuário do IP [192.168.15.1], hostName: DESKTOP-JED27UB. Acessou o Servidor de IP: 34354223232323 com Sucesso!
2023/11/28 20:06:23: Usuário do IP [192.168.15.1], hostName: DESKTOP-JED27UB. Iniciou o processo de inserção no servidor de IP: 34354223232323 com sucesso!
2023/11/28 20:12:46: Usuário do IP [192.168.15.1], hostName: DESKTOP-JED27UB. Acessou o Servidor de IP: 34354223232323 com Sucesso!
2023/11/28 20:12:51: Usuário do IP [192.168.15.1], hostName: DESKTOP-JED27UB. Iniciou o processo de inserção no servidor de IP: 34354223232323 com sucesso!
2023/11/28 20:13:40: Usuário do IP [192.168.15.1], hostName: DESKTOP-JED27UB. Acessou o Servidor de IP: 34354223232323 com Sucesso!
2023/11/28 20:13:44: Usuário do IP [192.168.15.1], hostName: DESKTOP-JED27UB. Iniciou o processo de inserção no servidor de IP: 34354223232323 com sucesso!
2023/11/28 20:14:32: Usuário do IP [192.168.15.1], hostName: DESKTOP-JED27UB. Acessou o Servidor de IP: 34354223232323 com Sucesso!
2023/11/28 20:14:39: Usuário do IP [192.168.15.1], hostName: DESKTOP-JED27UB. Iniciou o processo de inserção no servidor de IP: 34354223232323 com sucesso!
2023/11/28 20:15:48: Usuário do IP [192.168.15.1], hostName: DESKTOP-JED27UB. Acessou o Servidor de IP: 34354223232323 com Sucesso!
2023/11/28 20:15:53: Usuário do IP [192.168.15.1], hostName: DESKTOP-JED27UB. Iniciou o processo de inserção no servidor de IP: 34354223232323 com sucesso!
